,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kp20k,0.8470661768067371,0.07348458298342152,0.13523709388104452,0.3280560327737999,0.0022910441989531516,0.004550310405077326,0.4179459426497526,0.2793417902083367,0.3348682683733758,0.11079688119463175,0.04271231341382213,0.06165612590085871,0.36712044758138834,0.36784945086832027,0.36748458768229764,0.07559138363946727,0.07559138363946727,0.07559138363946727
1,krapivin,0.878347360360533,0.07508666361431415,0.13834658953948137,0.30866601752377154,0.0027068336876977647,0.005366605156680261,0.4001530221851557,0.2614999999986925,0.31629876020371156,0.10029211294936426,0.0514999999997425,0.06805417905472048,0.3343534812522238,0.3343534812522238,0.3343534812522238,0.08276533592908701,0.08276533592908701,0.08276533592908701
2,inspec,0.7821398949383961,0.16181433392429112,0.2681516587675183,0.2073552425648877,0.0018488931060705194,0.0036651061151944694,0.246889687585715,0.3571999999985712,0.29197318947100875,0.044600938966787164,0.0227999999999088,0.030174695605981076,0.35001382360975947,0.35001382360975947,0.35001382360975947,0.02347417840357219,0.02347417840357219,0.023474178403572188
3,semeval,0.7635542168559706,0.12832194381136847,0.21971830985820273,0.1283697047480312,0.0033545790003343323,0.006538298081005238,0.2560240963816864,0.3399999999932,0.2920962199262527,0.03594351732944873,0.05599999999888,0.04378420641057413,0.34789156625982093,0.34789156625982093,0.34789156625982093,0.04492939666181092,0.04492939666181092,0.04492939666181093
4,nus,0.8411371237387866,0.11934986356611774,0.20903896103852665,0.20498614958259478,0.0038229064421133056,0.007505832234504004,0.3612040133749064,0.4094786729819007,0.38382940914807795,0.05909510618597327,0.060663507108429736,0.05986903648213406,0.42809364548137047,0.42809364548137047,0.42809364548137047,0.06371191135675243,0.06371191135675243,0.06371191135675243

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kp20k,0.8766466116704014,0.07590091600457212,0.1397059546214936,0.28917577873118544,0.0023354872252677526,0.004633552222193883,0.48132431148000293,0.2793417902083655,0.3535164628506514,0.10080657007884986,0.042712313413826766,0.060001606904925994,0.30964632339622417,0.3096981494439523,0.3096722342517156,0.05691371826149912,0.05691371826149912,0.05691371826149912
1,krapivin,0.8690950887347947,0.0752329096493513,0.13847847866283805,0.2904667207792208,0.0027392033730164744,0.0054272260944793396,0.4631376323839559,0.2615,0.33426497729621907,0.09745337301587297,0.0515,0.06738818475473708,0.2870950432329108,0.2870950432329108,0.2870950432329108,0.07135218253968252,0.07135218253968252,0.07135218253968252
2,inspec,0.8243524934145138,0.16284619402848927,0.27196686502523226,0.20031832611832606,0.001874574083345768,0.0037143890036304525,0.3099447885589829,0.3572000000000001,0.3318988032939735,0.04860952380952379,0.022799999999999997,0.031040597492664704,0.34617119699709215,0.34617119699709215,0.34617119699709215,0.017942857142857142,0.017942857142857142,0.017942857142857142
3,semeval,0.7982001332001333,0.13029143198401422,0.22401633415775887,0.13426526251526252,0.003355589401051986,0.006547541096456001,0.28516303141303145,0.34,0.31017646856464354,0.040091991341991345,0.055999999999999994,0.046729211951930985,0.32399442224442226,0.32399442224442226,0.32399442224442226,0.047532217782217785,0.047532217782217785,0.047532217782217785
4,nus,0.8631038133721434,0.12214056346863023,0.21399764073808886,0.24451830458004067,0.003885101605129925,0.007648674969451982,0.4118255478375356,0.409478672985782,0.4106487573170136,0.08570103713531002,0.06066350710900475,0.07104077701808444,0.39891099360014903,0.39891099360014903,0.39891099360014903,0.059490105249646284,0.059490105249646284,0.059490105249646284
