,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kptimes,0.8944509119126915,0.18975531671619578,0.3130895425526626,0.7795808228289729,0.015639158852030748,0.03066318404234935,0.741818652179217,0.3463652285949417,0.4722367084784475,0.4909252208625694,0.2656199999999469,0.3447237615666244,0.5632302849995415,0.5632545705413232,0.5632424275086501,0.37437622444816676,0.37437622444816676,0.3743762244481667
1,krapivin,0.12717536813837232,0.057142857142685285,0.07885453413538553,0.010507880910591,0.00024067871397335676,0.0004705790082545556,0.09036144578252771,0.060701438848647926,0.07261968800391276,0.00262697022764775,0.0013043478260812856,0.0017431725740747058,0.07362784471168925,0.08215085884927446,0.0776561948459043,0.0017513134850985,0.0017513134850985,0.0017513134850985
2,inspec,0.08624708624686286,0.10409502969645484,0.09433427762012936,0.010587102983536217,0.00020308692120223708,0.0003985290654491971,0.06319606319589952,0.1072056239011107,0.07951767964777737,0.0019249278151884032,0.0007999999999968,0.0011302627860913803,0.0789950789948744,0.11135450894446385,0.09242424242396236,0.0019249278151884032,0.0019249278151884032,0.0019249278151884032
3,semeval,0.21511627905726066,0.05606060605975666,0.08894230769016966,0.0007496251874006775,8.893632159365977e-05,0.00015900779138152484,0.17441860464102216,0.06437768240205198,0.09404388714438733,0.0,0.0,0.0,0.11046511627264737,0.11585365852952112,0.11309523808850622,0.0,0.0,0.0
4,nus,0.17142857142704082,0.13568904593543685,0.1514792899396333,0.012068965517137337,0.0006311708218742928,0.0011996058437931541,0.13124999999882814,0.14818548386947394,0.13920454545322725,0.006034482758568669,0.006635071089984503,0.006320541760665278,0.14285714285586737,0.17039403620691806,0.15541525011990856,0.006034482758568669,0.006034482758568669,0.0060344827585686696

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kptimes,0.8219085714285731,0.19466447822058364,0.3147760079954648,0.7584117857142846,0.01819588002782008,0.03553910287855592,0.7120221825396831,0.3455133333333334,0.46525748592655514,0.5107181746031748,0.26561999999999997,0.3494790439937759,0.4782944047619053,0.4783194047619053,0.4783069044352322,0.32653047619047615,0.32653047619047615,0.32653047619047615
1,krapivin,0.13796626859926095,0.060749413629848405,0.08435539484437835,0.008153115000941088,0.00023205203940217839,0.0004512604112347944,0.09795908588427771,0.061920289855072454,0.07587789186494188,0.0036231884057971015,0.0013043478260869566,0.0019181585677749361,0.0657690636303168,0.06980848861283642,0.06772860039956571,0.0025362318840579713,0.0025362318840579713,0.0025362318840579713
2,inspec,0.09690445536276741,0.10747529137529137,0.10191650339038154,0.007785714285714285,0.00021182134613073183,0.00041242216515359394,0.07677532893364093,0.10723333333333336,0.08948355297939753,0.0007857142857142857,0.0008,0.0007927927927927928,0.08341080456911659,0.11105191475191473,0.0952668932198395,0.0007857142857142857,0.0007857142857142857,0.0007857142857142857
3,semeval,0.16111904761904763,0.05187301587301587,0.07847927080061819,0.000625,8.474576271186441e-05,0.0001492537313432836,0.12161904761904763,0.06000000000000001,0.08035658101730468,0.0,0.0,0.0,0.04995238095238095,0.050666666666666665,0.05030698848398801,0.0,0.0,0.0
4,nus,0.17692999227983014,0.13597090113677793,0.15376965035622847,0.01426661805808725,0.0006839048344092552,0.0013052398408744863,0.1352907139699357,0.14470774091627173,0.13984086871833135,0.007197107789524851,0.006635071090047393,0.006904670947648704,0.13506021119203956,0.1528706154298571,0.14341456833398616,0.007197107789524851,0.007197107789524851,0.007197107789524851
