,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,openkp,0.7614813669392597,0.05515762120507529,0.10286430455102193,0.027364663890378556,4.692254414034281e-05,9.368444634528638e-05,0.4679140250498933,0.1830334190230809,0.2631361551336929,0.0053539559785523265,0.0002721499848804741,0.0005179707058786694,0.28691820009255686,0.28691820009255686,0.28691820009255686,0.0029744199880846257,0.0029744199880846257,0.002974419988084626
1,krapivin,0.4323962516704659,0.0628404669260089,0.1097333106843728,0.01663747810843575,0.00036002577026559294,0.0007048000593513226,0.19344042837889264,0.12565217391249717,0.15234580917157434,0.00087565674254925,0.00043478260869376183,0.0005810575246915686,0.15930388219438218,0.15930388219438218,0.15930388219438218,0.00087565674254925,0.00087565674254925,0.00087565674254925
2,inspec,0.3455063455054507,0.12325602882738311,0.18169436120923224,0.05197305101008689,0.0009333356378656112,0.001833740831295221,0.12846412846379573,0.1983999999992064,0.1559503222758813,0.011549566891130418,0.0047999999999808005,0.006781576716548283,0.17819217819171668,0.17874772668179073,0.1784695201032984,0.004812319537971008,0.004812319537971008,0.004812319537971008
3,semeval,0.4244186046264873,0.031077054065427514,0.05791352637796182,0.001499250374801355,0.00015691197238336974,0.0002840909090905055,0.18023255812905623,0.06199999999876,0.09226190475915887,0.0,0.0,0.0,0.13372093022478365,0.13372093022478365,0.13372093022478365,0.0007496251874006775,0.0007496251874006775,0.0007496251874006776
4,nus,0.4991071428526866,0.1145961459612247,0.18639546515443015,0.024137931034274675,0.0010914051841741995,0.0020883833675166227,0.203571428569611,0.21611374407378092,0.2096551724118653,0.0034482758620392392,0.0037914691942768585,0.003611738148951587,0.22857142856938778,0.22857142856938778,0.22857142856938778,0.004310344827549049,0.004310344827549049,0.004310344827549049

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,openkp,0.7886074992440276,0.05715993479374142,0.10659373113822479,0.0062745690958572724,4.732739626060219e-05,9.394618160370495e-05,0.4980117931660114,0.1830057453885696,0.2676554251864972,0.001360749924402782,0.00027214998488055635,0.0004535833081342606,0.27661274065114366,0.27661274065114366,0.27661274065114366,0.0007559721802237678,0.0007559721802237678,0.0007559721802237678
1,krapivin,0.45959626832388983,0.06428770347364379,0.11279745213132156,0.019166666666666665,0.0003614743528431073,0.0007095666118522136,0.22314174919993335,0.1256521739130435,0.16077255949581998,0.0010869565217391304,0.0004347826086956522,0.0006211180124223603,0.12986719908395097,0.12986719908395097,0.12986719908395097,0.0010869565217391304,0.0010869565217391304,0.0010869565217391304
2,inspec,0.40298380733361544,0.12406379931743124,0.18971987186847708,0.05281991341991341,0.0009059614640762921,0.001781369077660115,0.16413150415938138,0.19839999999999997,0.17964612758677734,0.011785714285714287,0.0048,0.006821705426356588,0.1820652038640529,0.1822399225525823,0.18215252131126772,0.004119047619047619,0.004119047619047619,0.004119047619047619
3,semeval,0.30788095238095237,0.032629690343529284,0.05900585108577624,0.0010025062656641604,0.00016739039081103795,0.0002868798960510502,0.1489285714285714,0.06200000000000001,0.08755164239756182,0.0,0.0,0.0,0.08369047619047619,0.08369047619047619,0.08369047619047619,0.0004761904761904762,0.0004761904761904762,0.0004761904761904762
4,nus,0.5437069993973213,0.11607156115383944,0.19130333722149834,0.026486570644823265,0.001050141171397218,0.002020185889214679,0.22869121572975404,0.21611374407582942,0.22222465725297863,0.00170889965862148,0.0037914691943127963,0.0023559294240343615,0.2065996851323616,0.2065996851323616,0.2065996851323616,0.002024855424814213,0.002024855424814213,0.002024855424814213
