,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,stackexchange,0.9516173734010565,0.19007212222818223,0.31685661364845635,0.8093158660839719,0.004556902970371921,0.009062777412770083,0.8660965276949495,0.2889390817350493,0.4333184766997607,0.5359422237148495,0.1196699793736959,0.19565284036907002,0.5927861582925158,0.5929504950492701,0.5928683152827954,0.3375881760159346,0.3375881760159346,0.3375881760159346
1,krapivin,0.18607764390772372,0.07483176312227502,0.10673833749239109,0.1033274956208115,0.0012042905401956254,0.002380832282471147,0.13319946452387418,0.08931777378774992,0.10693175711925346,0.03064798598922375,0.015217391304281664,0.0203370133642049,0.10843373493903324,0.11612903225723206,0.112149532709504,0.02014010507863275,0.02014010507863275,0.02014010507863275
2,inspec,0.08288008287986823,0.09302325581368308,0.08765922476349088,0.026948989412637646,0.00023758007721350494,0.00047100778845013695,0.05594405594391105,0.09391304347785255,0.0701184872583343,0.0019249278151884032,0.0007999999999968,0.0011302627860913803,0.06993006992988882,0.09761388286298767,0.08148483476661691,0.0019249278151884032,0.0019249278151884032,0.0019249278151884032
3,semeval,0.1686046511529881,0.03684879288390281,0.06047966631782107,0.0044977511244040655,0.00027059937762130944,0.0005104862381413958,0.12790697673674958,0.045081967212190946,0.06666666666464646,0.0,0.0,0.0,0.09302325580854516,0.0958083832277959,0.09439528023041915,0.0022488755622020328,0.0022488755622020328,0.0022488755622020328
4,nus,0.23928571428357784,0.1426290580088205,0.1787262420795017,0.06810344827527498,0.001711772225953563,0.0033396038976122515,0.17410714285558834,0.1869606903146025,0.18030513175977525,0.012931034482647147,0.01421800947853822,0.013544018058568454,0.19285714285542094,0.20829315332489595,0.20027816411497193,0.020689655172235435,0.020689655172235435,0.020689655172235435

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,stackexchange,0.8116392691209844,0.20249620876338073,0.32412607282677225,0.5504052336604375,0.004734671175298058,0.009388580326670523,0.7556763964414419,0.28671791986999184,0.41570826143646916,0.37595891409879767,0.1196699793737106,0.1815511407349432,0.47563806071212905,0.4756849386419996,0.4756614985220726,0.21331333208325545,0.21331333208325545,0.21331333208325545
1,krapivin,0.20419871670670897,0.07474529786070708,0.10943338523815734,0.10981711525189787,0.0012495537266033693,0.0024709912860428414,0.15334663311965105,0.08898550724637681,0.11261921684895211,0.031910800552104907,0.015217391304347832,0.02060758623269318,0.09939022809387262,0.10128089302002348,0.10032665390948645,0.014105417529330573,0.014105417529330573,0.014105417529330573
2,inspec,0.1032241345397995,0.09866104451104456,0.10089102112721564,0.020573088023088017,0.0002367160282011957,0.0004680466642219323,0.06979173670887226,0.09706666666666669,0.08120000079301955,0.0012857142857142856,0.0008,0.0009863013698630137,0.07786381707948202,0.10053558663558665,0.08775908848074844,0.0012857142857142856,0.0012857142857142856,0.0012857142857142856
3,semeval,0.14171428571428574,0.03767900520532099,0.05953013383861529,0.004365601503759398,0.00026846281473640455,0.0005058201989294594,0.10695238095238097,0.044000000000000004,0.062349526813880125,0.0,0.0,0.0,0.04838095238095238,0.04838095238095238,0.04838095238095237,0.0022916666666666667,0.0022916666666666667,0.0022916666666666667
4,nus,0.247629740966608,0.1484038229682222,0.18558629160089332,0.07403803097920683,0.0017426293429707673,0.0034051127222069323,0.18836147569622252,0.186176935229068,0.1872628346647332,0.01649953064541979,0.014218009478672985,0.015274040965685073,0.17732736035617055,0.1865794026931468,0.18183576858626765,0.016960669583843527,0.016960669583843527,0.016960669583843527
