,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kp20k,0.40823513270417733,0.3186307172433108,0.3579099311017224,0.061821065151298586,0.06926881274615179,0.06533337057622264,0.37696845892336894,0.3210136178940529,0.34674818408722735,0.06086956521737522,0.06909069090688835,0.06472009892084514,0.2970867570162817,0.37683457410801957,0.33224222585919044,0.05066737148141915,0.0893248217696802,0.06465866162976773
1,krapivin,0.36801836265977034,0.2847838957946431,0.3210947930552664,0.06718597857772945,0.09043250327535475,0.07709497206617771,0.34506503442735226,0.294194390082882,0.31760563380058027,0.06718597857772945,0.09090909090789316,0.07726763717718625,0.2708492731425337,0.34739941118402945,0.30438521065946367,0.061343719570970366,0.11666666666450617,0.0804084237386036
2,inspec,0.19214818910646353,0.4186746987926586,0.26340723896053286,0.022691705790119785,0.03295454545417097,0.026876737719862123,0.18578932817200502,0.42397476340426515,0.25836216839577714,0.022691705790119785,0.03295454545417097,0.026876737719862123,0.18772463367379674,0.42490613266317334,0.2604026845627597,0.02190923317666738,0.0447999999992832,0.029427220178355997
3,semeval,0.2394578313216949,0.3994974874271483,0.29943502824294843,0.02439024390212593,0.07786885245582505,0.037145650048149646,0.22289156626170345,0.39153439152403346,0.2840690978832232,0.02439024390212593,0.07818930040830496,0.03718199608537804,0.23343373493624348,0.41114058354347105,0.29779058596930275,0.02439024390212593,0.07851239669097056,0.03721841331954519
4,nus,0.33779264213764393,0.4534231200846978,0.38715860085877185,0.0313942751612983,0.07296137338899224,0.04389928986386186,0.32023411370969707,0.4670731707260113,0.37996031745654807,0.0313942751612983,0.07311827956832004,0.043927648578243834,0.31187290969638903,0.5013440860147669,0.38453608247026255,0.027700831024674973,0.07915567282113045,0.041039671682065126

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kp20k,0.46403205354497473,0.32789936033478767,0.38426512919043443,0.055072421337896096,0.05651542461874128,0.055784592847197875,0.43562390885171887,0.32812844940309405,0.3743113751191577,0.05446730758896455,0.056520963879973685,0.0554751359604129,0.29210288654473865,0.32697821647844577,0.3085582176687036,0.040645637837293226,0.05602849525362152,0.047113200891195174
1,krapivin,0.42544314182549475,0.3010648448773449,0.35260720003677887,0.06326289682539682,0.077375,0.06961091928077143,0.4067853135426665,0.30341666666666667,0.34757842789368426,0.06326289682539682,0.07745833333333334,0.06964462354978719,0.269540364047717,0.307859126984127,0.28742824492076835,0.05326289682539682,0.08395833333333332,0.06517743705974353
2,inspec,0.2333525597094012,0.42241190476190477,0.3006289744821249,0.019707142857142857,0.023033333333333336,0.02124081109687483,0.2275397966554617,0.4240999999999999,0.29617475254539455,0.019707142857142857,0.023033333333333336,0.02124081109687483,0.22301922637606791,0.4221476190476191,0.29185329681556044,0.018707142857142856,0.024566666666666667,0.021240198074277856
3,semeval,0.25633355533355534,0.39245238095238094,0.31011373238000123,0.02685064935064935,0.08333333333333331,0.04061487083783518,0.2425359362859363,0.38783333333333336,0.2984394232279378,0.02685064935064935,0.08333333333333331,0.04061487083783518,0.24490498390498391,0.3954047619047618,0.30246797736235803,0.02685064935064935,0.08333333333333331,0.04061487083783518
4,nus,0.38025484760569794,0.47933310765064324,0.4240839734607632,0.04924952129990793,0.06334913112164298,0.05541654922876995,0.35728205946703295,0.48325434439178516,0.41082838677309347,0.04924952129990793,0.06350710900473934,0.05547691003489622,0.3217240419184941,0.4819284585872264,0.38585824473802754,0.03503151182123494,0.06334913112164298,0.04511488783502515
