,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kptimes,0.6146682188588735,0.5496607032693748,0.5803496916279264,0.4592466639557686,0.3841800921486799,0.41837284482744536,0.6086750312591692,0.5501344452669225,0.5779260654191762,0.44741803127178226,0.3861664114342821,0.4145418429027468,0.5250291036086211,0.6317837501293806,0.573480584924495,0.3783314235018747,0.4518564301794835,0.4118380814419717
1,krapivin,0.010040160642503078,0.07499999999625,0.01770956316389953,0.0017513134850985,0.003984063744940557,0.0024330900243013007,0.010040160642503078,0.07499999999625,0.01770956316389953,0.0017513134850985,0.003984063744940557,0.0024330900243013007,0.010040160642503078,0.08108108107669831,0.017867778439334514,0.0017513134850985,0.004901960784193579,0.002580645161257024
2,inspec,0.009324009323985175,0.10975609755762938,0.0171878730006341,0.0019249278151884032,0.00282087447104625,0.0022883295194246187,0.009324009323985175,0.10975609755762938,0.0171878730006341,0.0019249278151884032,0.0028288543139628167,0.0022909507445327496,0.009324009323985175,0.11111111110768175,0.017204301075186598,0.0019249278151884032,0.004424778760964054,0.002682763246107542
3,semeval,0.04651162790427258,0.14545454542809916,0.07048458149158726,0.0,0.0,0.0,0.04651162790427258,0.14545454542809916,0.07048458149158726,0.0,0.0,0.0,0.04651162790427258,0.2162162161577794,0.07655502391611914,0.0,0.0,0.0
4,nus,0.023214285714078447,0.20472440943269887,0.04170008019179311,0.0008620689655098098,0.0031545741323926,0.0013540961408076628,0.023214285714078447,0.20472440943269887,0.04170008019179311,0.0008620689655098098,0.0031545741323926,0.0013540961408076628,0.023214285714078447,0.2113821138039527,0.041834271922094386,0.0008620689655098098,0.0037878787877353077,0.0014044943820027461

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kptimes,0.5860928174603167,0.5269594047619044,0.5549553130714734,0.4694232539682542,0.39067734126984155,0.426445533943126,0.5825468253968247,0.5270083333333331,0.5533875970481039,0.4616499206349209,0.39129333333333316,0.42356988096896353,0.4660478174603173,0.5373429761904771,0.49916248557560167,0.3522777777777776,0.40501357142857153,0.3768094830667905
1,krapivin,0.012774327122153208,0.023550724637681156,0.01656403203356999,0.0014492753623188406,0.0018115942028985505,0.001610305958132045,0.012774327122153208,0.023550724637681156,0.01656403203356999,0.0014492753623188406,0.0018115942028985505,0.001610305958132045,0.012774327122153208,0.02391304347826087,0.016652762783393855,0.0014492753623188406,0.0018115942028985505,0.001610305958132045
2,inspec,0.011438065529242,0.052333333333333336,0.01877305835238998,0.0007857142857142857,0.002,0.0011282051282051281,0.011438065529242,0.052333333333333336,0.01877305835238998,0.0007857142857142857,0.002,0.0011282051282051281,0.011438065529242,0.052333333333333336,0.01877305835238998,0.0007857142857142857,0.002,0.0011282051282051281
3,semeval,0.027833333333333335,0.065,0.038976660682226216,0.0,0.0,0.0,0.027833333333333335,0.065,0.038976660682226216,0.0,0.0,0.0,0.027833333333333335,0.065,0.038976660682226216,0.0,0.0,0.0
4,nus,0.029150928268538642,0.09083728278041074,0.044137521366335926,0.00036456434560699967,0.002369668246445498,0.0006319115323854661,0.029150928268538642,0.09083728278041074,0.044137521366335926,0.00036456434560699967,0.002369668246445498,0.0006319115323854661,0.029150928268538642,0.09399684044233807,0.04450093057937569,0.00036456434560699967,0.002369668246445498,0.0006319115323854661
