,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,openkp,0.2955002319465784,0.310554968716738,0.30284061645711113,0.0005948839976169252,0.001872659175994894,0.0009029345372378967,0.2955002319465784,0.310554968716738,0.30284061645711113,0.0005948839976169252,0.001872659175994894,0.0009029345372378967,0.2458636152773729,0.33083645443161586,0.2820899494364569,0.0005948839976169252,0.007874015747411495,0.0011061946902532502
1,krapivin,0.055555555555183704,0.13301282051068888,0.07837582625044026,0.0,0.0,0.0,0.055555555555183704,0.13301282051068888,0.07837582625044026,0.0,0.0,0.0,0.053547523426683084,0.1512287334564985,0.07909045971251516,0.0,0.0,0.0
2,inspec,0.04584304584292711,0.23505976095305364,0.07672301690473896,0.0009624639075942016,0.002906976744101541,0.001446131597954503,0.04584304584292711,0.23505976095305364,0.07672301690473896,0.0009624639075942016,0.002906976744101541,0.001446131597954503,0.04584304584292711,0.23694779116148665,0.07682291666633323,0.0009624639075942016,0.004016064256866824,0.001552795031031789
3,semeval,0.058139534880340724,0.06410256409845497,0.06097560975237954,0.0,0.0,0.0,0.058139534880340724,0.06410256409845497,0.06097560975237954,0.0,0.0,0.0,0.058139534880340724,0.10416666665581598,0.07462686566607261,0.0,0.0,0.0
4,nus,0.06964285714223534,0.23353293412474452,0.10729023383621335,0.0,0.0,0.0,0.06964285714223534,0.23353293412474452,0.10729023383621335,0.0,0.0,0.0,0.06964285714223534,0.24223602483719764,0.108183079055365,0.0,0.0,0.0

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,openkp,0.3212680173369615,0.316739743977421,0.3189878109000017,0.00015119443604475356,0.00015119443604475356,0.00015119443604475356,0.3212680173369615,0.316739743977421,0.3189878109000017,0.00015119443604475356,0.00015119443604475356,0.00015119443604475356,0.24393206330007,0.30853744582199333,0.27245730134244883,0.00015119443604475356,0.00015119443604475356,0.00015119443604475356
1,krapivin,0.057625031972858044,0.11503623188405798,0.07678579887900465,0.0,0.0,0.0,0.057625031972858044,0.11503623188405798,0.07678579887900465,0.0,0.0,0.0,0.05327720588590153,0.11521739130434784,0.07286240366778297,0.0,0.0,0.0
2,inspec,0.05734308273425922,0.1927333333333333,0.0883883706650346,0.002,0.001,0.0013333333333333333,0.05734308273425922,0.1927333333333333,0.0883883706650346,0.002,0.001,0.0013333333333333333,0.05734308273425922,0.1927333333333333,0.0883883706650346,0.002,0.002,0.002
3,semeval,0.04666666666666666,0.06166666666666666,0.053128205128205125,0.0,0.0,0.0,0.04666666666666666,0.06166666666666666,0.053128205128205125,0.0,0.0,0.0,0.04666666666666666,0.06666666666666667,0.054901960784313725,0.0,0.0,0.0
4,nus,0.07874433360215351,0.20339652448657186,0.11353423879254325,0.0,0.0,0.0,0.07874433360215351,0.20339652448657186,0.11353423879254325,0.0,0.0,0.0,0.07874433360215351,0.20576619273301736,0.11390033214817293,0.0,0.0,0.0
