,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,stackexchange,0.6932335590130684,0.5308814165730176,0.6012912531334864,0.3228641809426028,0.34266191324994494,0.3324685806524083,0.691570653679894,0.5313155893534506,0.6009426821714027,0.3228641809426028,0.34286563614723964,0.3325644426501743,0.5424238824878084,0.6252852578728318,0.5809146225112553,0.2809315866082852,0.46432867585781035,0.3500645296310648
1,krapivin,0.05957161981218493,0.16240875912112393,0.08716944172294644,0.01663747810843575,0.02243211334093941,0.019105077928415235,0.05957161981218493,0.16240875912112393,0.08716944172294644,0.01663747810843575,0.02243211334093941,0.019105077928415235,0.05689424364085078,0.18085106382593932,0.08655804480563586,0.01313485113823875,0.025996533795043388,0.017452006980599746
2,inspec,0.013209013208978998,0.11805555555282278,0.023759608665158354,0.0,0.0,0.0,0.013209013208978998,0.11832946635456312,0.023765144454688886,0.0,0.0,0.0,0.013209013208978998,0.1191588785018888,0.02378176731161678,0.0,0.0,0.0
3,semeval,0.02325581395213629,0.05194805194130545,0.032128514053644294,0.0,0.0,0.0,0.02325581395213629,0.05194805194130545,0.032128514053644294,0.0,0.0,0.0,0.02325581395213629,0.079999999984,0.03603603603278955,0.0,0.0,0.0
4,nus,0.0830357142849729,0.31632653060148547,0.131541725599271,0.007758620689588288,0.03124999999891493,0.012430939226347639,0.0830357142849729,0.31632653060148547,0.131541725599271,0.007758620689588288,0.031358885016328955,0.012439530062025715,0.08214285714212373,0.330935251786657,0.13161659513402552,0.007758620689588288,0.035573122528238216,0.012738853503004405

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,stackexchange,0.6103423130612333,0.510716890043723,0.5561028839964702,0.2225607850490663,0.2203618380910717,0.22145585309101257,0.6094557993207912,0.5107100443777735,0.5557305644844694,0.2225607850490663,0.22039606642081852,0.22147313627308632,0.4419401212575795,0.49133904202346157,0.46533222716993805,0.18383961497593654,0.22327645477842376,0.2016479354618642
1,krapivin,0.06749345851647641,0.1192753623188406,0.0862061095925931,0.020042270531400966,0.016739130434782607,0.018242381846344927,0.06749345851647641,0.1192753623188406,0.0862061095925931,0.020042270531400966,0.016739130434782607,0.018242381846344927,0.06205867590778076,0.11884057971014494,0.08153808036116493,0.011346618357487922,0.016304347826086956,0.013381030602846644
2,inspec,0.01812388167388167,0.0675,0.02857525234948982,0.0,0.0,0.0,0.01812388167388167,0.06756666666666666,0.02858122151111994,0.0,0.0,0.0,0.01812388167388167,0.06756666666666666,0.02858122151111994,0.0,0.0,0.0
3,semeval,0.010833333333333332,0.0225,0.014624999999999997,0.0,0.0,0.0,0.010833333333333332,0.0225,0.014624999999999997,0.0,0.0,0.0,0.010833333333333332,0.02333333333333333,0.014796747967479672,0.0,0.0,0.0
4,nus,0.09258426296964585,0.2562401263823065,0.13602147079468238,0.009684731094168557,0.02211690363349131,0.013470770679577863,0.09258426296964585,0.2562401263823065,0.13602147079468238,0.009684731094168557,0.02211690363349131,0.013470770679577863,0.08784492647675486,0.25703001579778834,0.13093895828535818,0.009684731094168557,0.02211690363349131,0.013470770679577863
