,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kp20k,0.41588792170367306,0.3170476599997307,0.3598032233388252,0.0714946478128528,0.07368162998472606,0.07257166619714475,0.38041373843310206,0.31829487621011515,0.3465929609155328,0.07030527289544858,0.07350706054658483,0.07187052497904087,0.29688857722147405,0.37442562436306803,0.3311793214862119,0.05727500991144251,0.09560575311034342,0.07163517958378485
1,krapivin,0.372609028306254,0.29022646006978414,0.3262981574517501,0.07594936708786808,0.09341317365157589,0.08378088077246208,0.3488905891327553,0.2988204456074783,0.3219202259066579,0.07497565725340823,0.09277108433623167,0.08292945611111546,0.2693190512603725,0.3478260869530847,0.3035791289322675,0.06913339824664914,0.12390924956153736,0.08874999999889062
2,inspec,0.2051423831899222,0.43265306122196706,0.2783195798939298,0.021126760563214973,0.03180212014096817,0.025387870239535613,0.19629527232458863,0.4361179361152573,0.2707340324107884,0.021126760563214973,0.03183962264113396,0.02539981185300659,0.1996129388990887,0.437310720772639,0.27410782080381885,0.01721439749595294,0.03767123287606727,0.02363050483325854
3,semeval,0.24698795180350921,0.3942307692212925,0.3037037036980796,0.029525032092047175,0.08984374999649047,0.044444444443585605,0.22289156626170345,0.38242894055859356,0.28163653662641985,0.029525032092047175,0.09019607842783545,0.04448742746529038,0.23795180722533205,0.4114583333226183,0.30152671755149757,0.029525032092047175,0.09019607842783545,0.04448742746529038
4,nus,0.3444816053482903,0.4537444933870733,0.39163498098487043,0.036011080332077464,0.08647450110673005,0.050847457626455705,0.32357859531502026,0.4679564691600005,0.38260009885929214,0.036011080332077464,0.08666666666474074,0.05088062622242818,0.3143812709003815,0.4973544973479186,0.3852459016353971,0.03047091412714247,0.09065934065685001,0.04561161022742762

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kp20k,0.472936175661936,0.32533321578484403,0.3854885294054053,0.06427495187238425,0.061196262090347474,0.06269783604381506,0.4401566366960989,0.32509467284799665,0.373975388278241,0.06342708101075825,0.0612104539202202,0.062299056566757036,0.29125740348568435,0.32400596542045373,0.30676013223413706,0.04595172263672979,0.06119359354114054,0.05248854803655985
1,krapivin,0.4287589083710405,0.3068334235209236,0.3576915038856117,0.07405456349206348,0.08447916666666666,0.07892412302933213,0.40837885786599015,0.30812500000000004,0.3512381243967926,0.07280456349206348,0.08424999999999999,0.07811023554901426,0.26431446392659624,0.30250198412698404,0.2821218404858196,0.06322123015873016,0.0925,0.07510811189613104
2,inspec,0.24757864946931446,0.4388761904761903,0.3165725352914946,0.020007142857142855,0.023899999999999998,0.021780998861233122,0.24057038746987597,0.43976666666666653,0.3110071302249044,0.020007142857142855,0.023899999999999998,0.021780998861233122,0.23291198280264774,0.43494285714285696,0.3033695264415773,0.014507142857142857,0.022166666666666668,0.01753703823930403
3,semeval,0.26900058275058275,0.39451587301587304,0.31988656445011693,0.03306818181818181,0.08333333333333331,0.047347868532378774,0.24652439227439227,0.3875,0.30133920136304293,0.03306818181818181,0.08333333333333331,0.047347868532378774,0.24866724941724938,0.40165873015873016,0.307167097024539,0.03306818181818181,0.08333333333333331,0.047347868532378774
4,nus,0.3900860492232112,0.49113477359922864,0.4348168325297562,0.060720826248389224,0.070695102685624,0.06532944798406058,0.36795392910530905,0.4955766192733017,0.4223344838853043,0.060720826248389224,0.07085308056872038,0.06539682066835058,0.3239271686093543,0.4904705484089371,0.3901698954021401,0.040183701445861586,0.06919431279620852,0.050841727680313746
