,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kptimes,0.6504548786268916,0.494266430771085,0.5617052964719121,0.5168373193359269,0.3066026357914377,0.3848821845407441,0.6345880222478185,0.4941081679925826,0.5556058890145128,0.47015118471131845,0.3139331111933077,0.37647999052794917,0.5218816022073376,0.5902086990439875,0.5539461339554912,0.36624403947792616,0.39029386275884725,0.37788668738901277
1,krapivin,0.013386880856670771,0.0738007380046568,0.022662889518156797,0.00262697022764775,0.002145922746765766,0.0023622047243908495,0.013386880856670771,0.0738007380046568,0.022662889518156797,0.00262697022764775,0.002214022140205063,0.0024028834601329367,0.013386880856670771,0.08064516128707076,0.022962112514087692,0.0017513134850985,0.002398081534743428,0.0020242914979552197
2,inspec,0.01450401450397694,0.12017167381716369,0.02588398428460419,0.0019249278151884032,0.0011376564277523456,0.0014301036825067565,0.01450401450397694,0.12043010752429183,0.02588996763742076,0.0019249278151884032,0.0012077294685917408,0.0014842300556476124,0.01450401450397694,0.12147505422729989,0.025913928736576056,0.0019249278151884032,0.002515723270408607,0.0021810250817646563
3,semeval,0.05232558139230665,0.10843373492669474,0.07058823528858131,0.0,0.0,0.0,0.05232558139230665,0.10843373492669474,0.07058823528858131,0.0,0.0,0.0,0.04651162790427258,0.1403508771683595,0.06986899562708568,0.0,0.0,0.0
4,nus,0.033928571428268495,0.19487179486180145,0.05779467680520465,0.006034482758568669,0.008454106280091134,0.007042253521055914,0.033928571428268495,0.19487179486180145,0.05779467680520465,0.006034482758568669,0.008928571428457543,0.007201646090460889,0.033928571428268495,0.20212765956371662,0.058103975534279755,0.006034482758568669,0.011666666666472222,0.007954545454455062

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kptimes,0.6181101190476176,0.4852532936507942,0.5436830107918853,0.5216169444444447,0.31481070290820334,0.3926474631705992,0.607594126984126,0.48468833333333405,0.5392264280531736,0.4861296428571429,0.31894499999999987,0.3851782448166962,0.45394511904761903,0.502176785714286,0.47684442671730104,0.323981587301587,0.34124801587301584,0.33239072139439546
1,krapivin,0.01482560917343526,0.02898550724637681,0.019617295209314895,0.0036231884057971015,0.0017028985507246378,0.002316868776496106,0.01482560917343526,0.02898550724637681,0.019617295209314895,0.0036231884057971015,0.0017028985507246378,0.002316868776496106,0.01482560917343526,0.02934782608695652,0.019699595337802408,0.0025362318840579713,0.002717391304347826,0.0026236881559220395
2,inspec,0.016878874720051194,0.07233333333333333,0.027370811642425608,0.0007857142857142857,0.0011666666666666665,0.0009390243902439024,0.016878874720051194,0.07246666666666665,0.027380343082866163,0.0007857142857142857,0.0011666666666666665,0.0009390243902439024,0.016878874720051194,0.07233333333333333,0.027370811642425608,0.0007857142857142857,0.0011666666666666665,0.0009390243902439024
3,semeval,0.03283333333333333,0.05833333333333333,0.042017062766605724,0.0,0.0,0.0,0.03283333333333333,0.05833333333333333,0.042017062766605724,0.0,0.0,0.0,0.02283333333333333,0.05333333333333333,0.03197665937272064,0.0,0.0,0.0
4,nus,0.042633298978397495,0.1283570300157978,0.06400693733770663,0.007197107789524851,0.006488377341457911,0.006824391047689502,0.042633298978397495,0.1283570300157978,0.06400693733770663,0.007197107789524851,0.007503949447077409,0.007347326406334525,0.042633298978397495,0.13428120063191154,0.06471883973703271,0.007197107789524851,0.009083728278041074,0.008031107404620007
