,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,openkp,0.32449358280475915,0.28713142231628436,0.30467133679336167,0.0005948839976169252,0.0011961722487895195,0.0007945967421470433,0.32449358280475915,0.2872493326943486,0.30473770194205496,0.0005948839976169252,0.0011961722487895195,0.0007945967421470433,0.26024431730303055,0.3195367381808244,0.286858701209914,0.0005948839976169252,0.004901960784073433,0.0010610079575484245
1,krapivin,0.11579651941020218,0.15585585585445177,0.13287250383922525,0.0,0.0,0.0,0.11579651941020218,0.15585585585445177,0.13287250383922525,0.0,0.0,0.0,0.0990629183393637,0.17432273262456627,0.12633376013549866,0.0,0.0,0.0
2,inspec,0.08210308210286946,0.255439161964098,0.12426499411946586,0.0019249278151884032,0.006802721088203989,0.0030007501875018647,0.08210308210286946,0.2556451612882609,0.12428935502793849,0.0019249278151884032,0.006802721088203989,0.0030007501875018647,0.0813260813258707,0.25864909390231755,0.12374384236404436,0.0019249278151884032,0.009345794392086645,0.0031923383878181594
3,semeval,0.07558139534444294,0.05199999999792,0.06161137440466296,0.0,0.0,0.0,0.07558139534444294,0.05199999999792,0.06161137440466296,0.0,0.0,0.0,0.06395348836837479,0.0873015872946586,0.07382550335074996,0.0,0.0,0.0
4,nus,0.1232142857131856,0.2608695652124599,0.16737416615927989,0.0008620689655098098,0.00735294117592993,0.001543209876519395,0.1232142857131856,0.2613636363586863,0.16747572815330736,0.0008620689655098098,0.00735294117592993,0.001543209876519395,0.11785714285609057,0.2749999999942708,0.16499999999793752,0.0008620689655098098,0.008264462809234343,0.0015612802497804643

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,openkp,0.35133555085172874,0.302776937808688,0.32525384876251884,0.00015119443604475356,0.00015119443604475356,0.00015119443604475356,0.35133555085172874,0.30281725632496653,0.32527711076413307,0.00015119443604475356,0.00015119443604475356,0.00015119443604475356,0.2560704566071966,0.30299364983368565,0.27756288185243155,0.00015119443604475356,0.00015119443604475356,0.00015119443604475356
1,krapivin,0.13013356173522414,0.1516304347826087,0.14006195816059583,0.0,0.0,0.0,0.13013356173522414,0.1516304347826087,0.14006195816059583,0.0,0.0,0.0,0.09426399651783282,0.1464130434782609,0.11468878477834109,0.0,0.0,0.0
2,inspec,0.1045299911157328,0.25706666666666667,0.14862513690039783,0.0026666666666666666,0.003,0.0028235294117647056,0.1045299911157328,0.2571333333333333,0.14863627706700133,0.0026666666666666666,0.003,0.0028235294117647056,0.10186332444906614,0.25593333333333323,0.14572646000801606,0.0026666666666666666,0.003,0.0028235294117647056
3,semeval,0.06333333333333332,0.045,0.05261538461538461,0.0,0.0,0.0,0.06333333333333332,0.045,0.05261538461538461,0.0,0.0,0.0,0.05,0.055,0.05238095238095238,0.0,0.0,0.0
4,nus,0.13915870201415226,0.26018957345971566,0.18133366559455327,0.00043084877208099956,0.001579778830963665,0.0006770480704129993,0.13915870201415226,0.260347551342812,0.18137201614742646,0.00043084877208099956,0.001579778830963665,0.0006770480704129993,0.12494069253547928,0.25552922590837285,0.16782403496511128,0.00043084877208099956,0.001579778830963665,0.0006770480704129993
