,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,stackexchange,0.698974541710932,0.5264821662887611,0.6005885454759903,0.36619639458046904,0.2670449906098363,0.3088582491263061,0.6966385556476633,0.5268595041320737,0.5999693110324793,0.36356511028979754,0.2692148246412946,0.30935594512180387,0.5436116720115043,0.6226192635585786,0.5804392398906845,0.29403202328950057,0.4027607361960101,0.3399132742215132
1,krapivin,0.06894243641185448,0.17166666666380556,0.09837631327508715,0.0262697022764775,0.020026702269559236,0.022727272727100553,0.06894243641185448,0.17166666666380556,0.09837631327508715,0.02539404553392825,0.020124913254544588,0.022454510259214442,0.06559571619768678,0.19029126213222736,0.09756097560878486,0.017513134850985,0.024038461538172615,0.020263424518538364
2,inspec,0.014763014762976527,0.12723214285430284,0.026456254351234828,0.0009624639075942016,0.000884955752204558,0.0009220839096272746,0.014763014762976527,0.1275167785206372,0.026462395543052634,0.0009624639075942016,0.0009009009008927848,0.0009306654257707712,0.014763014762976527,0.1286681715546576,0.026486988847460563,0.0009624639075942016,0.0017513134850831644,0.001242236024829289
3,semeval,0.02325581395213629,0.04938271604328609,0.03162055335718415,0.0,0.0,0.0,0.02325581395213629,0.04999999999375,0.03174603174351222,0.0,0.0,0.0,0.02325581395213629,0.08163265304456477,0.0361990950193485,0.0,0.0,0.0
4,nus,0.08839285714206793,0.3245901639237839,0.13894736841910252,0.009482758620607908,0.024999999999431817,0.013749999999828125,0.08839285714206793,0.3245901639237839,0.13894736841910252,0.007758620689588288,0.02068965517193817,0.011285266457538743,0.08749999999921876,0.33793103447110584,0.13900709219660984,0.008620689655098098,0.02762430939150209,0.013140604467632844

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,stackexchange,0.615209283913578,0.508762898871656,0.5569455605582974,0.2512052836635629,0.20605213917139675,0.22639932556640932,0.6139685813696688,0.5086963768568871,0.5563967959596471,0.2497406087880498,0.2063920661708025,0.2260065243480726,0.4420567952163684,0.4893837114819695,0.46451790226656964,0.19008063003937783,0.21720732545784116,0.20274061491355128
1,krapivin,0.0768775164874909,0.13003623188405797,0.0966283066187249,0.027614734299516913,0.0192287784679089,0.022671126776163675,0.0768775164874909,0.13003623188405797,0.0966283066187249,0.02689009661835749,0.01952898550724638,0.022625880698261512,0.07035577735705612,0.1305072463768116,0.09142487849565564,0.012759661835748792,0.017391304347826084,0.014719738068077916
2,inspec,0.019688838938838937,0.07783333333333332,0.031427683128224256,0.001,0.0005,0.0006666666666666666,0.019688838938838937,0.0779,0.031433114073563154,0.001,0.0005,0.0006666666666666666,0.019688838938838937,0.0779,0.031433114073563154,0.001,0.001,0.001
3,semeval,0.010833333333333332,0.0225,0.014624999999999997,0.0,0.0,0.0,0.010833333333333332,0.0225,0.014624999999999997,0.0,0.0,0.0,0.010833333333333332,0.02333333333333333,0.014796747967479672,0.0,0.0,0.0
4,nus,0.0985272404766044,0.27124802527646125,0.14454898361463162,0.012844288756095886,0.018325434439178515,0.015102936272042232,0.0985272404766044,0.27124802527646125,0.14454898361463162,0.011817432515969502,0.016745655608214848,0.013856390753364747,0.09378790398371341,0.2720379146919431,0.13948641413786234,0.010474620509650388,0.01895734597156398,0.01349356014312022
