,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kp20k,0.850557190115272,0.06830000391726648,0.12644632875274645,0.29366988238395836,0.0018298691094346018,0.0036370754522121024,0.41222921779953164,0.27552091293491515,0.33028789192750424,0.09308841020216914,0.035885679351975557,0.051801735549337875,0.36134274433276503,0.3619386461848002,0.3616404497810046,0.06221752345709999,0.06221752345709999,0.06221752345709999
1,krapivin,0.8722264728318881,0.06989576946654207,0.1294204461598122,0.2989289191791731,0.0023956675094420204,0.0047532417263395,0.3978576893619139,0.2599999999987,0.3144844269711855,0.08179162609462716,0.041999999999790004,0.05550049553977206,0.32517214995925653,0.32517214995925653,0.32517214995925653,0.061343719570970366,0.061343719570970366,0.061343719570970366
2,inspec,0.7876693392292295,0.1491154611116146,0.25075914271861044,0.19248826290929197,0.0015138927351609887,0.0030041581945738304,0.25020735416021506,0.36199999999855204,0.2958966813787938,0.04068857589952513,0.0207999999999168,0.027527792482649405,0.35720210118784296,0.35720210118784296,0.3572021011878429,0.027386541470834223,0.027386541470834223,0.027386541470834223
3,semeval,0.7484939758923419,0.11929908785377029,0.2057971014484232,0.11039794608330683,0.0026930544247502058,0.005257848561730653,0.27710843373076643,0.36799999999264,0.3161512027437087,0.030808729139527487,0.04799999999904,0.037529319780492114,0.3403614457780066,0.3403614457780066,0.3403614457780066,0.03979460847188967,0.03979460847188967,0.03979460847188967
4,nus,0.8352842809294709,0.10897785535059563,0.19280131236091322,0.176361957523764,0.0028614232209733543,0.00563147730455512,0.35618729096692153,0.4037914691904854,0.37849844513213243,0.044321329639479955,0.0454976303313223,0.04490177736160055,0.4188963210667317,0.4188963210667317,0.4188963210667317,0.052631578946882446,0.052631578946882446,0.052631578946882446

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kp20k,0.8772494692487228,0.07051256220446926,0.1305329939719013,0.2591473437821842,0.001864972693496138,0.0037032943599875005,0.4747099322935117,0.27552091293494274,0.3486727178884928,0.08627361474488161,0.03588567935197919,0.050687707360459695,0.2991522206831171,0.2991918726859057,0.29917204537065095,0.04668400511502024,0.04668400511502024,0.04668400511502024
1,krapivin,0.8653840501818441,0.06960704490509909,0.128850053776315,0.2933744588744589,0.002404764300623099,0.004770425845620066,0.46773868064125407,0.26,0.3342190272463363,0.08355059523809519,0.041999999999999996,0.055899774801469695,0.2790917662811045,0.2790917662811045,0.2790917662811045,0.051268849206349214,0.051268849206349214,0.051268849206349214
2,inspec,0.8244983491643338,0.14885010112930658,0.2521741573986852,0.190715873015873,0.0015606693256942008,0.0030960033846470646,0.3110259084053202,0.362,0.33458259908448984,0.04291507936507936,0.020799999999999996,0.02801954136096959,0.3500771841613912,0.3500771841613912,0.3500771841613912,0.021367460317460313,0.021367460317460313,0.021367460317460313
3,semeval,0.7808331390831391,0.12277225175635756,0.21218253831389572,0.11515354090354091,0.0027000837468622034,0.005276447035203159,0.29879073704073705,0.368,0.32980359540979526,0.033489177489177485,0.04800000000000001,0.039452613684657876,0.32318117993117995,0.32318117993117995,0.32318117993117995,0.039936979686979686,0.039936979686979686,0.039936979686979686
4,nus,0.8599021034412729,0.11036701368154599,0.19562578163204564,0.2005837767592569,0.002918143692281073,0.005752597141345716,0.40172114847330903,0.4037914691943128,0.40275364827468757,0.08101637698794098,0.04549763033175355,0.05827106814664171,0.3916509399747482,0.3916509399747482,0.3916509399747482,0.05131582408334717,0.05131582408334717,0.05131582408334717
