,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kptimes,0.8838011468973898,0.18718779964383478,0.3089421091500536,0.741026873174605,0.01385147203414941,0.027194615067392684,0.7425947484151499,0.3460170768457366,0.4720699484704331,0.4907773629540196,0.26553999999994693,0.34461993692644166,0.5759065235197792,0.5759065235197792,0.5759065235197792,0.3751155139909159,0.3751155139909159,0.3751155139909159
1,krapivin,0.15528781793738095,0.06485882024024361,0.09150069019881088,0.01663747810843575,0.00030565297126857155,0.000600278023505434,0.09638554216802955,0.06434316353858649,0.0771704180060173,0.00262697022764775,0.0013043478260812856,0.0017431725740747058,0.08232931726852524,0.08991228070109714,0.08595387840610794,0.0017513134850985,0.0017513134850985,0.0017513134850985
2,inspec,0.09608909608884722,0.10328507795071469,0.0995572252781442,0.012512030798724622,0.0002021835826930539,0.0003979368504827593,0.06397306397289829,0.10356394129935613,0.07909061799526389,0.0019249278151884032,0.0007999999999968,0.0011302627860913803,0.08262108262086863,0.10846650799011062,0.09379594236961543,0.0019249278151884032,0.0019249278151884032,0.0019249278151884032
3,semeval,0.26162790696153326,0.05660377358419366,0.0930713547033491,0.001499250374801355,0.0001459534408522616,0.0002660105074146891,0.1918604651051244,0.0688935281822778,0.10138248847614802,0.0,0.0,0.0,0.15116279068888588,0.15662650601466105,0.15384615383705053,0.0,0.0,0.0
4,nus,0.18660714285547675,0.134232498393486,0.15614493836267357,0.010344827586117718,0.00042408821034760244,0.000814774579032581,0.14285714285586737,0.15640273704636948,0.14932337844004365,0.0034482758620392392,0.0037914691942768585,0.003611738148951587,0.14910714285581156,0.16988809765849555,0.15882073228569832,0.005172413793058859,0.005172413793058859,0.005172413793058859

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kptimes,0.8141842857142876,0.1908869440178846,0.30926594169609173,0.7240574999999996,0.014354643968286583,0.02815118280479972,0.712163015873017,0.34527666666666723,0.4650729044957854,0.5097385317460322,0.2655399999999997,0.3491802343991167,0.48904218253968246,0.48904218253968246,0.48904218253968246,0.33118035714285676,0.33118035714285676,0.33118035714285676
1,krapivin,0.17529857965279957,0.06706094630007674,0.0970103286871576,0.01701345755693582,0.00031437036200257057,0.0006173337865669395,0.09988561736643578,0.06572463768115941,0.07928187791367386,0.0036231884057971015,0.0013043478260869566,0.0019181585677749361,0.06720075356584307,0.07115181316268274,0.06911986636996019,0.0014492753623188406,0.0014492753623188406,0.0014492753623188406
2,inspec,0.1142977888408835,0.1061367798867799,0.11006621443969643,0.013619047619047621,0.0002102211073882376,0.0004140509999023209,0.08058820772151977,0.10383333333333333,0.0907458227192194,0.0007857142857142857,0.0008,0.0007927927927927928,0.08817397931707395,0.10870547230547231,0.09736916664204905,0.0007857142857142857,0.0007857142857142857,0.0007857142857142857
3,semeval,0.18945238095238093,0.051505772005772006,0.08099241315962978,0.0015757575757575758,0.0001314450474898236,0.00024264902895230407,0.1471904761904762,0.06650000000000002,0.09161069637883011,0.0,0.0,0.0,0.0836190476190476,0.0836190476190476,0.0836190476190476,0.0,0.0,0.0
4,nus,0.1927882519769524,0.13639728491624228,0.15976275495928877,0.007839330232695162,0.00042266410378475494,0.0008020832143263208,0.14847699451403615,0.15505529225908374,0.15169485936982066,0.0021114351683072063,0.0037914691943127963,0.0027123737416854285,0.138861373168557,0.15175981206786895,0.14502436137546318,0.0031167489698295386,0.0031167489698295386,0.0031167489698295386
