,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,openkp,0.7612494201323943,0.050262132899080096,0.09429815110114169,0.007138607971403102,1.3627459330550905e-05,2.720298870169141e-05,0.46103293644621846,0.18032539010518317,0.25924959784345936,0.002379535990467701,0.00012095554883576627,0.00023020920261274198,0.27841348384082387,0.27841348384082387,0.27841348384082387,0.0011897679952338504,0.0011897679952338504,0.0011897679952338504
1,krapivin,0.4812583667973142,0.05760294824542733,0.10289066971937194,0.03415061295942075,0.0005696341196230819,0.0011205769534670016,0.2188755020065671,0.14217391304286012,0.1723774380591862,0.00612959719784475,0.0030434782608563327,0.0040674026728409795,0.18540829986489019,0.18540829986489019,0.1854082998648902,0.003502626970197,0.003502626970197,0.003502626970197
2,inspec,0.3745143745134045,0.10944595821971734,0.16939026533102627,0.07603464869994192,0.0010890242893770382,0.0021472934589086452,0.14633514633476732,0.225999999999096,0.1776450243666793,0.015399422521507226,0.0063999999999744,0.009042102288731042,0.18907018906969938,0.18907018906969938,0.18907018906969936,0.007699711260753613,0.007699711260753613,0.007699711260753613
3,semeval,0.45348837206665765,0.028007181328445218,0.05275617179538211,0.001499250374801355,0.0001339405304044107,0.0002459117176930457,0.19767441859315846,0.06799999999864,0.10119047618746456,0.0,0.0,0.0,0.15116279068888588,0.15116279068888588,0.15116279068888588,0.0,0.0,0.0
4,nus,0.5374999999952009,0.10269532582718749,0.1724434259519552,0.031034482758353153,0.0011473006565105655,0.002212797344641826,0.22499999999799108,0.23886255923944208,0.2317241379289037,0.0017241379310196196,0.0018957345971384292,0.0018058690744757935,0.2589285714262596,0.2589285714262596,0.2589285714262596,0.005172413793058859,0.005172413793058859,0.005172413793058859

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,openkp,0.7893181130934381,0.05255410336533269,0.09854679817830383,0.0017387360145146658,1.4763969679841738e-05,2.9279322533139945e-05,0.4958900312468506,0.18033464368511268,0.2644865099041161,0.0006047777441790142,0.00012095554883580285,0.00020159258139300476,0.2716056849107952,0.2716056849107952,0.2716056849107952,0.0003023888720895071,0.0003023888720895071,0.0003023888720895071
1,krapivin,0.5255981197333497,0.05831184649814649,0.10497713226375932,0.039202898550724626,0.000572218257947938,0.0011279722658319978,0.25710272357650876,0.14217391304347826,0.18309761660208393,0.009057971014492754,0.003043478260869565,0.004556105180942463,0.16487079966779453,0.16487079966779453,0.16487079966779453,0.003623188405797101,0.003623188405797101,0.003623188405797101
2,inspec,0.4391425837021746,0.11047446608643885,0.17653761828886444,0.07020649350649352,0.0010798587795378283,0.00212700176015061,0.1832242620692749,0.22600000000000003,0.20237648187460755,0.012119047619047616,0.006400000000000001,0.00837644638724608,0.1939054590479143,0.1939054590479143,0.1939054590479143,0.004285714285714286,0.004285714285714286,0.004285714285714286
3,semeval,0.33464285714285713,0.02904092666530389,0.053443893327285615,0.0012454212454212454,0.0001493280238924838,0.0002666806107508889,0.1386904761904762,0.068,0.09125676765349615,0.0,0.0,0.0,0.09535714285714285,0.09535714285714285,0.09535714285714285,0.0,0.0,0.0
4,nus,0.5810363169991505,0.10348109678903857,0.17567493286866334,0.030240863985048265,0.0011441402211492145,0.0022048611865894954,0.2456318646016825,0.23886255924170616,0.2421999219088464,0.0011509817197020988,0.0018957345971563982,0.0014323328067403895,0.23832885816547578,0.23832885816547578,0.23832885816547578,0.0025421697285004843,0.0025421697285004843,0.0025421697285004843
