,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,stackexchange,0.9545076612420499,0.16184753784698988,0.27676623883541007,0.7685029671924932,0.004212047616052225,0.008378175728070257,0.8576236290925852,0.27716146533079,0.41893433903869665,0.5002239390882879,0.11169448090504261,0.18261340527500686,0.5918755196576823,0.5918755196576823,0.5918755196576823,0.30063822640225024,0.30063822640225024,0.30063822640225024
1,krapivin,0.20883534136406404,0.0674886437376866,0.10201078960241293,0.0858143607698265,0.0010045718268855194,0.001985896084947316,0.13386880856670771,0.08756567425530838,0.10587612493326694,0.02714535901902675,0.013478260869506617,0.018012783265438623,0.11111111111036741,0.11608391608310431,0.11354309165449013,0.017513134850985,0.017513134850985,0.017513134850985
2,inspec,0.08987308987285711,0.07502702702686481,0.0817817581897672,0.023099133782260837,0.00020745273967272536,0.00041121239119998435,0.05128205128191846,0.08006469874613803,0.0625197347645642,0.004812319537971008,0.001999999999992,0.0028256569652284503,0.06863506863489087,0.08010882708561032,0.07392941832870993,0.0038498556303768064,0.0038498556303768064,0.0038498556303768064
3,semeval,0.22093023254529473,0.03664416586271318,0.06286186931244234,0.003748125937003388,0.0002271281911509825,0.0004283022100390369,0.13953488371281772,0.04848484848386899,0.07196401798884665,0.0007496251874006775,0.00199999999996,0.0010905125408823282,0.1046511627846133,0.10588235293494809,0.10526315788858111,0.001499250374801355,0.001499250374801355,0.0014992503748013552
4,nus,0.2624999999976563,0.125533731852581,0.16984402079624586,0.07155172413731421,0.0017826460481095829,0.003478625314332155,0.17410714285558834,0.18536121672827605,0.1795580110480704,0.015517241379176577,0.017061611374245864,0.016252821670282143,0.18749999999832592,0.19354838709499037,0.19047619047446282,0.021551724137745247,0.021551724137745247,0.021551724137745247

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,stackexchange,0.8138050294810067,0.16935660283672904,0.2803674403758792,0.522878513240412,0.004394712634288744,0.00871616723767354,0.7495895576806861,0.2757339000354195,0.4031649731793198,0.34985728274683797,0.11169448090505646,0.16932933926229723,0.48052586619997195,0.48052586619997195,0.48052586619997195,0.1880711294455908,0.1880711294455908,0.1880711294455908
1,krapivin,0.22923910382030582,0.06564878281781635,0.10206772690204216,0.09271911663216008,0.0010398174945190069,0.002056571151293294,0.15374036076881348,0.08786231884057971,0.11181982433617073,0.029918046928916496,0.013478260869565219,0.018584218873566895,0.1048824481145453,0.1056129133015322,0.10524641327063346,0.011681331953071084,0.011681331953071084,0.011681331953071084
2,inspec,0.10639071451424391,0.07516546362134598,0.08809292488517963,0.020457936507936505,0.00020790118191441214,0.0004116193346102568,0.06293830222065513,0.08000000000000002,0.07045087425034247,0.003507936507936508,0.002,0.002547550432276657,0.07314233789086726,0.07912352369852367,0.0760154567158301,0.0017579365079365078,0.0017579365079365078,0.0017579365079365078
3,semeval,0.16271428571428576,0.035141719391719395,0.057800214519967946,0.0036764989396568344,0.00022395063664683426,0.00042218429545643594,0.12178571428571429,0.048,0.06885990744636096,0.0007142857142857143,0.002,0.0010526315789473684,0.0657142857142857,0.06596428571428571,0.06583904839397108,0.0015476190476190477,0.0015476190476190477,0.0015476190476190477
4,nus,0.2692164719790064,0.13082686988920023,0.17608466216258328,0.0794105108376259,0.0018252820618502132,0.003568539821692693,0.1839454377556149,0.18680884676145343,0.18536608492018758,0.019773935146954552,0.017061611374407586,0.018317914551609697,0.1698025630864244,0.17593576776041228,0.17281476561261216,0.01762855322617597,0.01762855322617597,0.01762855322617597
