,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kp20k,0.42533957345603834,0.2922947985961665,0.3464843652981215,0.04427117748115653,0.060955638851464405,0.05129068806073697,0.38335594615601576,0.2973653714258334,0.3349293767438936,0.04408616360511588,0.06095822826442241,0.05116721371819652,0.29393112489895973,0.3599014428909414,0.3235881513803267,0.037795691819733634,0.07635218110946855,0.05056219503569388
1,krapivin,0.3947972455975915,0.2860310421270176,0.33172613307404875,0.041869522881773424,0.0765124555146528,0.0541220893636989,0.3611323641900449,0.2897483118459807,0.3215258855563929,0.041869522881773424,0.07664884135335742,0.0541561712839527,0.27161438408361427,0.34634146341125527,0.304459691249533,0.039922103212853735,0.09151785714081433,0.05559322033822925
2,inspec,0.22062482720425594,0.39175257731766444,0.2822780332497974,0.018779342722857754,0.030495552731505775,0.023244552057886253,0.20597179983354721,0.39210526315583105,0.2700743157503351,0.018779342722857754,0.030495552731505775,0.023244552057886253,0.21205418855346406,0.402624671913897,0.27779789931083737,0.016431924882500535,0.03710247349757769,0.022776572667865765
3,semeval,0.28313253011621786,0.40085287845627177,0.33186231243897857,0.015404364569763743,0.07643312101423992,0.025641025640477755,0.2620481927671378,0.40845070421576407,0.3192660550400135,0.015404364569763743,0.07643312101423992,0.025641025640477755,0.2740963855380407,0.4262295081867393,0.33363886342193144,0.015404364569763743,0.07643312101423992,0.025641025640477755
4,nus,0.35785953176958313,0.4216748768431362,0.38715513342028807,0.021237303785584145,0.07012195121737433,0.03260099220364847,0.3294314381243359,0.4358407079597805,0.37523809523452156,0.021237303785584145,0.07033639143515791,0.032624113474714556,0.32525083611768185,0.47208737863504746,0.3851485148476718,0.021237303785584145,0.08455882352630298,0.033948339482893754

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kp20k,0.4847025452632668,0.3013697045563166,0.3716570910554646,0.03972978697111372,0.04517781028555923,0.04227901475154735,0.44383842378251287,0.30333095589858566,0.3603732621053956,0.03964601069904461,0.04521201623448321,0.04224647082029865,0.2839116843165142,0.3077978775403504,0.2953726607604431,0.030753272630087574,0.04468643333842795,0.0364331766588923
1,krapivin,0.4638286854077297,0.29681944444444447,0.36198964361320407,0.04304761904761904,0.06429166666666668,0.05156738571877484,0.4285891843042579,0.29675000000000007,0.3506879076560098,0.04304761904761904,0.064375,0.05159417077630631,0.2573286854077295,0.29378273809523814,0.27435005904617704,0.039297619047619047,0.06462499999999999,0.04887499284036886
2,inspec,0.26738911268470095,0.39760079365079354,0.31974657781762467,0.019621428571428574,0.020666666666666667,0.020130488741800134,0.2552940699823052,0.39683333333333315,0.31070369457324093,0.019621428571428574,0.020666666666666667,0.020130488741800134,0.2428057793513676,0.3979428571428571,0.30159354249910214,0.013621428571428573,0.019333333333333334,0.01598237121595261
3,semeval,0.30294141969141963,0.3955952380952381,0.343123533220036,0.018187229437229436,0.06666666666666667,0.02857810938928215,0.28280217005217007,0.4016666666666666,0.33191344551341756,0.018187229437229436,0.06666666666666667,0.02857810938928215,0.2821080863580863,0.4065952380952381,0.33310077204116045,0.018187229437229436,0.06666666666666667,0.02857810938928215
4,nus,0.3967633607757667,0.45072645890181434,0.42202688568572794,0.03261626887842902,0.05545023696682465,0.041073046351140785,0.3628899277317175,0.4542654028436018,0.40346879727963714,0.03261626887842902,0.05545023696682465,0.041073046351140785,0.328832871044329,0.45305800045136535,0.38107712589875337,0.03261626887842902,0.05781990521327015,0.04170608927018722
