,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kptimes,0.6182037683781234,0.5308993964525749,0.5712350597607286,0.44930321960579256,0.3698125836678929,0.4057008394384588,0.6118225326604528,0.5322181381739809,0.5692508273992302,0.43418474845657257,0.36998771537456454,0.3995238095236736,0.5261932479625205,0.6252369486138505,0.5714553287129746,0.36199312460711863,0.43036695231798267,0.39323000321217744
1,krapivin,0.02342704149917385,0.0806451612884644,0.03630705394153209,0.00087565674254925,0.001715265866179841,0.0011594202898416298,0.02342704149917385,0.0806451612884644,0.03630705394153209,0.00087565674254925,0.0017241379310047563,0.0011614401858169403,0.022088353413506772,0.08375634517553918,0.03495762711827376,0.00087565674254925,0.002247191011185456,0.0012602394454787618
2,inspec,0.01735301735297241,0.1300970873761146,0.030621572211925865,0.0009624639075942016,0.0011961722487895195,0.0010666666666552889,0.01735301735297241,0.1300970873761146,0.030621572211925865,0.0009624639075942016,0.0011961722487895195,0.0010666666666552889,0.01735301735297241,0.1313725490170319,0.03065660032015257,0.0009624639075942016,0.002040816326488963,0.0013080444734949897
3,semeval,0.09302325580854516,0.1355932203274921,0.11034482757859691,0.0,0.0,0.0,0.09302325580854516,0.1355932203274921,0.11034482757859691,0.0,0.0,0.0,0.08720930232051108,0.18749999997656253,0.11904761903817082,0.0,0.0,0.0
4,nus,0.04374999999960938,0.22477064219152426,0.07324364723358381,0.0025862068965294294,0.008086253369054278,0.0039190071847953105,0.04374999999960938,0.22477064219152426,0.07324364723358381,0.0025862068965294294,0.008086253369054278,0.0039190071847953105,0.042857142856760205,0.2330097087265529,0.07239819004415689,0.0025862068965294294,0.00970873786376347,0.004084411164001574

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kptimes,0.5865974603174613,0.5137021428571428,0.5477351286689852,0.4561671031746032,0.37271396825396785,0.41023943499661647,0.5829644444444452,0.5140599999999996,0.5463482674953056,0.4459311111111111,0.3723949999999999,0.4058590184706314,0.4618541269841272,0.5296445238095238,0.4934318548192981,0.3323763888888885,0.3822445238095236,0.35557049125983275
1,krapivin,0.024018288474810218,0.053623188405797106,0.033176525223755096,0.002173913043478261,0.002173913043478261,0.002173913043478261,0.024018288474810218,0.053623188405797106,0.033176525223755096,0.002173913043478261,0.002173913043478261,0.002173913043478261,0.020757418909592824,0.051811594202898555,0.02964006038159209,0.002173913043478261,0.002173913043478261,0.002173913043478261
2,inspec,0.022990707331883797,0.08500000000000002,0.03619219044846742,0.0002857142857142857,0.001,0.0004444444444444444,0.022990707331883797,0.08500000000000002,0.03619219044846742,0.0002857142857142857,0.001,0.0004444444444444444,0.022990707331883797,0.08500000000000002,0.03619219044846742,0.0002857142857142857,0.001,0.0004444444444444444
3,semeval,0.0650952380952381,0.11,0.08178950231166712,0.0,0.0,0.0,0.0650952380952381,0.11,0.08178950231166712,0.0,0.0,0.0,0.05509523809523809,0.105,0.07226948245092206,0.0,0.0,0.0
4,nus,0.046752179045144865,0.15876777251184834,0.07223375901793502,0.0013215457528253738,0.0039494470774091624,0.001980414384637448,0.046752179045144865,0.15876777251184834,0.07223375901793502,0.0013215457528253738,0.0039494470774091624,0.001980414384637448,0.04438251079869938,0.15955766192733017,0.06944752040607753,0.0013215457528253738,0.0039494470774091624,0.001980414384637448
