,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,openkp,0.3198546466674502,0.2849566055928606,0.30139880518701634,0.0,0.0,0.0,0.3198546466674502,0.28501550120545294,0.301431746147181,0.0,0.0,0.0,0.2580021648366646,0.31681382322195306,0.28439936932689786,0.0,0.0,0.0
1,krapivin,0.13386880856670771,0.1700680272094382,0.1498127340812748,0.0,0.0,0.0,0.13386880856670771,0.1700680272094382,0.1498127340812748,0.0,0.0,0.0,0.12182061579570402,0.20177383591794043,0.15191986644280536,0.0,0.0,0.0
2,inspec,0.08857808857785916,0.26307692307489944,0.1325324549500774,0.0019249278151884032,0.005747126436616462,0.0028839221340607947,0.08857808857785916,0.26307692307489944,0.1325324549500774,0.0019249278151884032,0.005747126436616462,0.0028839221340607947,0.08702408702386163,0.26582278480802357,0.1311219512190005,0.0019249278151884032,0.007936507936192995,0.0030983733539411565
3,semeval,0.12209302324871552,0.07984790874221111,0.09655172413349188,0.0,0.0,0.0,0.12209302324871552,0.07984790874221111,0.09655172413349188,0.0,0.0,0.0,0.11046511627264737,0.14503816792785967,0.12541254124584733,0.0,0.0,0.0
4,nus,0.12499999999888393,0.25454545454082644,0.16766467065667465,0.0008620689655098098,0.0068493150680240195,0.0015313935681235623,0.12499999999888393,0.25454545454082644,0.16766467065667465,0.0008620689655098098,0.0068493150680240195,0.0015313935681235623,0.1232142857131856,0.27380952380409107,0.16995073891416318,0.0008620689655098098,0.00799999999936,0.0015564202334388106

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,openkp,0.3512095554883582,0.29927174679971735,0.3231671588223605,0.0,0.0,0.0,0.3512095554883582,0.29927678661425217,0.32317009717690715,0.0,0.0,0.0,0.26132446325975167,0.308411450458623,0.2829221567875399,0.0,0.0,0.0
1,krapivin,0.1483178825650053,0.16999999999999996,0.15842050614860956,0.0,0.0,0.0,0.1483178825650053,0.16999999999999996,0.15842050614860956,0.0,0.0,0.0,0.1222309260432662,0.17670289855072457,0.14450394801404193,0.0,0.0,0.0
2,inspec,0.11086210604541806,0.2647333333333334,0.1562792930728933,0.001,0.004,0.0015999999999999999,0.11086210604541806,0.2647333333333334,0.1562792930728933,0.001,0.004,0.0015999999999999999,0.10502877271208472,0.2627333333333334,0.15006744358347335,0.001,0.004,0.0015999999999999999
3,semeval,0.08926190476190475,0.08333333333333331,0.08619579712144201,0.0,0.0,0.0,0.08926190476190475,0.08333333333333331,0.08619579712144201,0.0,0.0,0.0,0.07426190476190475,0.09833333333333333,0.08461902791189589,0.0,0.0,0.0
4,nus,0.136032279989626,0.24928909952606637,0.17601600320083224,0.00047393364928909954,0.002369668246445498,0.0007898894154818325,0.136032279989626,0.24928909952606637,0.17601600320083224,0.00047393364928909954,0.002369668246445498,0.0007898894154818325,0.131292943496735,0.25355450236966826,0.17300318508295334,0.00047393364928909954,0.002369668246445498,0.0007898894154818325
