,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,stackexchange,0.7326681711997732,0.4687777074096343,0.5717419514303369,0.365188668681914,0.25841850883437983,0.3026633259092879,0.7289860236763158,0.47078677542241665,0.5721032843424877,0.36457283618835257,0.258535810703407,0.3025319396049698,0.5588549708989354,0.6073318704011844,0.582085859210449,0.2771806068747748,0.36455342021915577,0.3149190598859428
1,krapivin,0.06693440428335386,0.1506024096362861,0.09267840593055905,0.01488616462333725,0.014285714285594239,0.01457975986265369,0.06693440428335386,0.1506024096362861,0.09267840593055905,0.01488616462333725,0.01440677966089486,0.014642549526144338,0.06358768406918616,0.16323024054702354,0.09152215799526471,0.0122591943956895,0.018944519620853254,0.014885699096067137
2,inspec,0.0196840196839687,0.12357723577034833,0.03395889186758731,0.0028873917227826046,0.0030549898166695013,0.0029688273131819013,0.0196840196839687,0.12357723577034833,0.03395889186758731,0.0028873917227826046,0.0030549898166695013,0.0029688273131819013,0.0196840196839687,0.12561983470866744,0.0340349305865023,0.0019249278151884032,0.0036297640652698773,0.0025157232704086075
3,semeval,0.04651162790427258,0.06299212597929196,0.053511705682039355,0.0,0.0,0.0,0.04651162790427258,0.06299212597929196,0.053511705682039355,0.0,0.0,0.0,0.04651162790427258,0.1038961038826109,0.06425702810728859,0.0,0.0,0.0
4,nus,0.1017857142848055,0.3211267605543344,0.15457627118434475,0.009482758620607908,0.026960784313064687,0.014030612244718998,0.1017857142848055,0.3211267605543344,0.15457627118434475,0.009482758620607908,0.027027027026362973,0.014039566049597453,0.09821428571340882,0.3303303303204105,0.15141087405159795,0.008620689655098098,0.031347962381462445,0.013522650439303278

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,stackexchange,0.6432537450257297,0.47110660190071446,0.5438834696780234,0.252440777548597,0.20649728108006798,0.22716936727054715,0.6412848719711638,0.47160135008438087,0.5435071535914759,0.25205012813300853,0.20652644956976526,0.22702868226581815,0.4570285642852688,0.4880773798362413,0.4720429610121977,0.17642040127508002,0.20332104089838962,0.1889179090786467
1,krapivin,0.07744938423327169,0.12753623188405794,0.09637361697806443,0.014175293305728089,0.015289855072463767,0.014711494235315882,0.07744938423327169,0.12753623188405794,0.09637361697806443,0.014175293305728089,0.015362318840579712,0.014744954625490995,0.07020300742167748,0.12731884057971013,0.09050305675627307,0.010189786059351277,0.01576086956521739,0.012377328056934235
2,inspec,0.025390324381500847,0.09833333333333331,0.040359544438981335,0.0032222222222222222,0.003,0.003107142857142857,0.025390324381500847,0.09833333333333331,0.040359544438981335,0.0032222222222222222,0.003,0.003107142857142857,0.025390324381500847,0.09849999999999999,0.04037356369939849,0.0012222222222222224,0.003,0.0017368421052631582
3,semeval,0.034023809523809526,0.05,0.04049305752337773,0.0,0.0,0.0,0.034023809523809526,0.05,0.04049305752337773,0.0,0.0,0.0,0.034023809523809526,0.055,0.04204065258090398,0.0,0.0,0.0
4,nus,0.11993905667515045,0.2919431279620853,0.17002620980756894,0.016007732601646295,0.02369668246445497,0.01910770657649,0.11993905667515045,0.2919431279620853,0.17002620980756894,0.016007732601646295,0.02369668246445497,0.01910770657649,0.11006543898162754,0.29265402843601895,0.15996790180568607,0.0112683961087553,0.023696682464454975,0.01527373112654544
