,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kp20k,0.4288153421649727,0.29628810381509024,0.3504407138629769,0.05954803753137055,0.06205756782810576,0.06077690855137287,0.38532249950449177,0.3007257584770612,0.3378083088868687,0.05878155147348784,0.061716061716044594,0.06021307414274609,0.295257405064211,0.3629345076360231,0.32561658344676025,0.048420774415211205,0.08012596221130155,0.06036343267597149
1,krapivin,0.3940321346565109,0.29178470254792194,0.33528645833115045,0.0662122687432696,0.08651399490984078,0.07501378929867608,0.36495791889544793,0.2996231155760074,0.32907899275385255,0.06523855890880975,0.08545918367237934,0.07399226946356717,0.2708492731425337,0.34808259586678386,0.3046471600662251,0.05452775072975144,0.10053859963912858,0.07070707070617796
2,inspec,0.22808957699688115,0.41624621594139133,0.2946954813349002,0.022691705790119785,0.03085106382945903,0.02614968440012489,0.21537185512796414,0.4203993523992423,0.2848263254102932,0.022691705790119785,0.030883919062503897,0.026161479476534404,0.2211777716333393,0.4278074866287283,0.2915983233085781,0.017996870109405348,0.035439137133506333,0.023871302542564907
3,semeval,0.28915662650166934,0.4111349036314532,0.33952254641309426,0.015404364569763743,0.05309734513039392,0.02388059701445014,0.2650602409598635,0.4180522565221365,0.32442396312766036,0.015404364569763743,0.05333333333096296,0.02390438246964334,0.2756024096344036,0.4295774647786484,0.33577981650760036,0.015404364569763743,0.05333333333096296,0.02390438246964334
4,nus,0.3595317725722447,0.4317269076261875,0.3923357664197779,0.033240997229609964,0.08591885441322389,0.047936085219068766,0.3352842809336515,0.44704570791028936,0.3831820353522869,0.033240997229609964,0.08674698794971694,0.04806408544662131,0.3285953177230051,0.47985347984762083,0.39007444168347327,0.029547553092986636,0.09090909090650827,0.04459930313526691

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kp20k,0.48802447772055246,0.30402147608704216,0.37464978230102164,0.054113914116971036,0.05045397682567207,0.0522198954993106,0.44535314083708377,0.3057652792636741,0.3625887046166128,0.05369675114058447,0.05043048550613922,0.0520123901743284,0.28411371885793607,0.3088497178211377,0.2959657762030923,0.03893229508390762,0.05079910918975588,0.04408101990566282
1,krapivin,0.46219055515562874,0.3009583333333334,0.36454249297922686,0.06947420634920634,0.08220833333333331,0.07530673900341844,0.43229048300555645,0.30379166666666674,0.3568249722530993,0.06905753968253965,0.08204166666666665,0.0749917327608092,0.2604405551556287,0.29899107142857134,0.2783875523981061,0.04822420634920635,0.07749999999999999,0.059453562692338036
2,inspec,0.271018330688919,0.4190769841269842,0.3291648044257218,0.024810317460317456,0.026166666666666668,0.02547044781076635,0.26107887961711485,0.4205666666666667,0.322164722519659,0.024810317460317456,0.026166666666666668,0.02547044781076635,0.25045166402225233,0.41758650793650803,0.3131115561234612,0.016143650793650793,0.025,0.019618641615709573
3,semeval,0.3123862248862248,0.4135714285714286,0.3559271444467737,0.018528138528138526,0.06416666666666666,0.02875365353575012,0.2869338439338439,0.4164999999999999,0.3397844645350484,0.018528138528138526,0.06416666666666666,0.02875365353575012,0.2803862248862249,0.41595238095238096,0.33497300551710707,0.018528138528138526,0.06416666666666666,0.02875365353575012
4,nus,0.40092253949934464,0.45085007146618516,0.4244230285375986,0.05762607587252136,0.074565560821485,0.06501047680228661,0.3742859454456889,0.4590047393364928,0.4123387575645794,0.05762607587252136,0.074565560821485,0.06501047680228661,0.33212317141087694,0.45629090498758745,0.3844294184667143,0.041828287562884724,0.07693522906793049,0.05419288644295366
