,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,kptimes,0.6380373388519648,0.5020866555829057,0.5619564804615645,0.4731453073594525,0.33653214144857724,0.39331366764982995,0.6264390117705227,0.5040066604223457,0.5585928489040527,0.44723320888609497,0.3367568470272944,0.38421111128740915,0.5283921872976638,0.6068934779375987,0.564928778868499,0.35685506228501207,0.4012969198152715,0.377773429857023
1,krapivin,0.022757697456340313,0.08056872037723771,0.03549060542760449,0.0017513134850985,0.002824858757022248,0.0021621621621387877,0.022757697456340313,0.08056872037723771,0.03549060542760449,0.0017513134850985,0.002844950213330797,0.002168021680193301,0.021419009370673234,0.08290155440199737,0.03404255319112721,0.00087565674254925,0.00197628458494118,0.0012135922329949808
2,inspec,0.018389018388970762,0.13759689922213958,0.03244231208575535,0.0009624639075942016,0.0010460251045915688,0.0010025062656541105,0.018389018388970762,0.13759689922213958,0.03244231208575535,0.0009624639075942016,0.0010504201680561931,0.0010045203415268255,0.018389018388970762,0.13921568627178008,0.032486845115385556,0.0009624639075942016,0.0018281535648660301,0.0012610340479033918
3,semeval,0.09302325580854516,0.1355932203274921,0.11034482757859691,0.0,0.0,0.0,0.09302325580854516,0.1355932203274921,0.11034482757859691,0.0,0.0,0.0,0.08720930232051108,0.18518518516232282,0.11857707508944053,0.0,0.0,0.0
4,nus,0.04553571428530772,0.2372093023145484,0.07640449438087783,0.0034482758620392392,0.009132420091115699,0.005006257822215191,0.04553571428530772,0.2372093023145484,0.07640449438087783,0.0034482758620392392,0.009153318077593746,0.005009392611083165,0.04464285714245855,0.24630541870707853,0.07558578987036153,0.0034482758620392392,0.01111111111080247,0.005263157894667591

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,kptimes,0.6032952777777784,0.4908268650793647,0.5412805724516158,0.4789986507936507,0.33968226190476164,0.3974865973474939,0.5961551190476193,0.49151166666666657,0.5387995661971638,0.46036757936507994,0.3396133333333332,0.39087674644485987,0.45968944444444443,0.5141991666666671,0.4854188180496726,0.3207653174603172,0.35327059523809523,0.3362341753491846
1,krapivin,0.02347481021394065,0.05289855072463768,0.032518758467420604,0.003260869565217391,0.0015217391304347826,0.0020750988142292487,0.02347481021394065,0.05289855072463768,0.032518758467420604,0.003260869565217391,0.0015217391304347826,0.0020750988142292487,0.02021394064872326,0.051086956521739134,0.02896649966649062,0.0010869565217391304,0.0010869565217391304,0.0010869565217391304
2,inspec,0.024147056538233007,0.09066666666666667,0.03813713317572644,0.0002857142857142857,0.0006666666666666666,0.00039999999999999996,0.024147056538233007,0.09066666666666667,0.03813713317572644,0.0002857142857142857,0.0006666666666666666,0.00039999999999999996,0.024147056538233007,0.09066666666666667,0.03813713317572644,0.0002857142857142857,0.0006666666666666666,0.00039999999999999996
3,semeval,0.0650952380952381,0.11,0.08178950231166712,0.0,0.0,0.0,0.0650952380952381,0.11,0.08178950231166712,0.0,0.0,0.0,0.05509523809523809,0.105,0.07226948245092206,0.0,0.0,0.0
4,nus,0.048252968934560346,0.16429699842022116,0.07459721645197513,0.0021114351683072063,0.00584518167456556,0.003102253733350947,0.048252968934560346,0.16429699842022116,0.07459721645197513,0.0021114351683072063,0.00584518167456556,0.003102253733350947,0.04588330068811485,0.16508688783570302,0.07180854666938394,0.0021114351683072063,0.00584518167456556,0.003102253733350947
