,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,openkp,0.3449822174112069,0.26665869838028644,0.30080560892553965,0.0,0.0,0.0,0.34467295500205297,0.2668662077220791,0.3008198657172639,0.0,0.0,0.0,0.26155868254193476,0.30186490586213804,0.28027007994674596,0.0,0.0,0.0
1,krapivin,0.16064257028004925,0.17505470459390918,0.16753926701453728,0.00087565674254925,0.0029325513195620954,0.0013486176668732488,0.16064257028004925,0.17595307917759567,0.16794961511429007,0.00087565674254925,0.0029325513195620954,0.0013486176668732488,0.13922356090937602,0.2111675126882115,0.1678096006440677,0.00087565674254925,0.0034482758619500593,0.0013966480446732314
2,inspec,0.10722610722582951,0.2691807542245177,0.15336173365381234,0.0019249278151884032,0.0051948051946702645,0.002808988764005492,0.10670810670783033,0.269281045749874,0.15284733815561918,0.0019249278151884032,0.0051948051946702645,0.002808988764005492,0.10360010359983528,0.2704530087878942,0.1498127340818359,0.0019249278151884032,0.007067137808937557,0.0030257186081236657
3,semeval,0.12790697673674958,0.07028753993385663,0.09072164948079497,0.0,0.0,0.0,0.12790697673674958,0.07051282051056049,0.09090909090533433,0.0,0.0,0.0,0.11627906976068145,0.14184397162114581,0.12779552714838366,0.0,0.0,0.0
4,nus,0.14910714285581156,0.2581143740300137,0.18902093944324821,0.0008620689655098098,0.005988023951737244,0.0015071590052523414,0.14910714285581156,0.25931677018230875,0.18934240362597118,0.0008620689655098098,0.005988023951737244,0.0015071590052523414,0.14642857142726404,0.28275862068478,0.19294117646831835,0.0008620689655098098,0.006896551723662306,0.0015325670497849414

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,openkp,0.37518647313778875,0.2858967989977969,0.32451164994950027,0.0,0.0,0.0,0.37498488055639584,0.28594647716964017,0.32446820485532474,0.0,0.0,0.0,0.2600519100897085,0.2959127104122566,0.27682576453534646,0.0,0.0,0.0
1,krapivin,0.18572261125490028,0.17717908902691512,0.18135028327665298,0.0010869565217391304,0.0007246376811594203,0.0008695652173913043,0.18572261125490028,0.17786231884057974,0.18170749975940642,0.0010869565217391304,0.0007246376811594203,0.0008695652173913043,0.13807768371866835,0.18511387163561074,0.15817303513157285,0.0010869565217391304,0.0010869565217391304,0.0010869565217391304
2,inspec,0.1317800685177284,0.2690714285714286,0.17691465069129744,0.0011666666666666665,0.003,0.0016799999999999999,0.13113006851772838,0.2690333333333333,0.17631976972588428,0.0011666666666666665,0.003,0.0016799999999999999,0.11988006851772834,0.2644380952380953,0.16497194234088589,0.0011666666666666665,0.003,0.0016799999999999999
3,semeval,0.09926190476190476,0.0715,0.08312423312883435,0.0,0.0,0.0,0.09926190476190476,0.0715,0.08312423312883435,0.0,0.0,0.0,0.08426190476190476,0.09833333333333333,0.09075542226278958,0.0,0.0,0.0
4,nus,0.1637721546489319,0.26769352290679305,0.20321776360228125,0.00047393364928909954,0.002369668246445498,0.0007898894154818325,0.1637721546489319,0.26864139020537126,0.20349029222311743,0.00047393364928909954,0.002369668246445498,0.0007898894154818325,0.15666314990959543,0.27290679304897314,0.19905693371522423,0.00047393364928909954,0.002369668246445498,0.0007898894154818325
