,Dataset,micro_present_recall_M,micro_present_precision_M,micro_present_F1_M,micro_absent_recall_M,micro_absent_precision_M,micro_absent_F1_M,micro_present_recall_5,micro_present_precision_5,micro_present_F1_5,micro_absent_recall_5,micro_absent_precision_5,micro_absent_F1_5,micro_present_recall_O,micro_present_precision_O,micro_present_F1_O,micro_absent_recall_O,micro_absent_precision_O,micro_absent_F1_O
0,stackexchange,0.7276398622161271,0.4753627686814942,0.5750492818922446,0.3625013996191006,0.26557565317244347,0.30655966669019413,0.7242348655815322,0.47707474831764723,0.5752291702697919,0.36177359758125527,0.26580560240209544,0.30645199535233136,0.5603595042956169,0.6126574607157211,0.5853426527149239,0.27281379464770306,0.36460905349766953,0.3121017068560463
1,krapivin,0.06693440428335386,0.15360983102682627,0.09324009323922386,0.01663747810843575,0.015397082657897918,0.015993265993131372,0.06693440428335386,0.15360983102682627,0.09324009323922386,0.01663747810843575,0.015586546349338913,0.01609487505280733,0.06358768406918616,0.1669595782044471,0.09209888511786624,0.01313485113823875,0.01976284584954199,0.015781167806251644
2,inspec,0.0196840196839687,0.13103448275636148,0.03422652555715277,0.0009624639075942016,0.001040582726315915,0.00099999999999,0.0196840196839687,0.13103448275636148,0.03422652555715277,0.0009624639075942016,0.001040582726315915,0.00099999999999,0.0196840196839687,0.13263525305178647,0.03428055931423419,0.0009624639075942016,0.0018656716417562375,0.001269841269825145
3,semeval,0.04651162790427258,0.06779661016374605,0.055172413789298456,0.0,0.0,0.0,0.04651162790427258,0.06779661016374605,0.055172413789298456,0.0,0.0,0.0,0.04651162790427258,0.11111111109567902,0.06557377048642837,0.0,0.0,0.0
4,nus,0.09999999999910715,0.3265306122353781,0.15311004784479687,0.009482758620607908,0.028205128204404996,0.014193548386913633,0.09999999999910715,0.3265306122353781,0.15311004784479687,0.009482758620607908,0.028205128204404996,0.014193548386913633,0.0955357142848613,0.3312693498349452,0.14830214830009283,0.008620689655098098,0.03194888178811665,0.01357773251848503

,Dataset,macro_present_recall_M,macro_present_precision_M,macro_present_F1_M,macro_absent_recall_M,macro_absent_precision_M,macro_absent_F1_M,macro_present_recall_5,macro_present_precision_5,macro_present_F1_5,macro_absent_recall_5,macro_absent_precision_5,macro_absent_F1_5,macro_present_recall_O,macro_present_precision_O,macro_present_F1_O,macro_absent_recall_O,macro_absent_precision_O,macro_absent_F1_O
0,stackexchange,0.6388763881075894,0.47585399682718277,0.5454446866581104,0.24992707877575698,0.20486473856997076,0.22516344271000513,0.6370366897931115,0.47623601475092275,0.5450233588929089,0.24956559784986573,0.2049576015167621,0.22507263183785844,0.45891097360251787,0.4918963685230344,0.4748315066347912,0.1739358709919373,0.20026564160260038,0.18617444146812312
1,krapivin,0.07792039872602531,0.12894927536231884,0.09714114933417442,0.015533988957902001,0.015471014492753623,0.015502437771403938,0.07792039872602531,0.12894927536231884,0.09714114933417442,0.015533988957902001,0.015543478260869563,0.015538732160637237,0.0706740219144311,0.1286231884057971,0.09122373586152158,0.00937456866804693,0.014492753623188404,0.011384881166963417
2,inspec,0.025601313392489864,0.10283333333333333,0.040996233663976187,0.001,0.0005,0.0006666666666666666,0.025601313392489864,0.10283333333333333,0.040996233663976187,0.001,0.0005,0.0006666666666666666,0.025601313392489864,0.103,0.04100946109902559,0.001,0.001,0.001
3,semeval,0.034023809523809526,0.05,0.04049305752337773,0.0,0.0,0.0,0.034023809523809526,0.05,0.04049305752337773,0.0,0.0,0.0,0.034023809523809526,0.055,0.04204065258090398,0.0,0.0,0.0
4,nus,0.11700518170336079,0.29115323854660347,0.166927525634798,0.016055812826936494,0.02962085308056872,0.020824062500483517,0.11700518170336079,0.29115323854660347,0.166927525634798,0.016055812826936494,0.02962085308056872,0.020824062500483517,0.10239222751694686,0.2863349131121643,0.15084344006429443,0.011316476334045499,0.02843601895734597,0.016189954024594815
